InputID,TargetID,Distance
301,317,183.684911853
302,317,51.1226704117
303,2534,195.506858489
304,2534,144.876810579
305,2534,228.053561294
306,2534,31.938800417
307,2534,504.98470131
308,2534,268.273039318
309,2534,127.588970477
314,318,540.951271339
315,318,217.638803741
316,152,103.520034102
326,318,68.5389732651
327,318,389.636732912
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
328,153,346.567902638
329,203,421.57359939
329,203,421.57359939
329,203,421.57359939
329,203,421.57359939
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
334,153,111.884131649
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
335,153,163.73068551
337,420,603.100856896
338,154,417.428807719
339,154,323.449627087
340,420,379.694758786
341,420,85.1768275034
342,420,289.707328379
343,154,571.588501626
344,155,394.542579189
344,155,394.542579189
344,155,394.542579189
344,155,394.542579189
345,154,282.771003293
348,316,389.327438468
349,317,440.940266517
351,317,1065.56944122
352,318,770.36444624
353,318,326.044745154
354,318,429.952807079
355,154,621.861174691
356,420,576.457341481
358,420,292.844128012
359,154,678.515451981
361,159,82.3745109437
361,159,82.3745109437
361,159,82.3745109437
361,159,82.3745109437
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
362,156,400.754850375
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
363,156,205.463316693
364,2638,38.8842009326
367,316,115.779759268
369,317,440.044854677
385,152,43.0023329999
386,419,708.108684293
388,420,377.816072354
393,155,145.629196147
393,155,145.629196147
393,155,145.629196147
393,155,145.629196147
394,2533,200.958841031
395,2533,388.299853351
397,204,412.98437555
397,204,412.98437555
397,204,412.98437555
397,204,412.98437555
446,314,1748.45518767
447,314,2308.73568569
449,314,3372.46361314
450,317,874.564632703
451,318,932.946706937
452,154,228.894279468
453,154,106.742465361
454,152,306.358039156
455,155,329.674709349
455,155,329.674709349
455,155,329.674709349
455,155,329.674709349
456,159,363.452553569
456,159,363.452553569
456,159,363.452553569
456,159,363.452553569
457,155,224.219842776
457,155,224.219842776
457,155,224.219842776
457,155,224.219842776
458,2534,143.046070842
300,2533,340.917870927
310,2534,248.683218563
311,151,212.630776669
311,151,212.630776669
311,151,212.630776669
311,151,212.630776669
312,151,33.0519299579
312,151,33.0519299579
312,151,33.0519299579
312,151,33.0519299579
313,1251,210.772106689
318,152,184.29284543
320,202,88.8662208906
321,202,147.5119855
322,424,391.176103971
324,425,366.876204398
331,202,407.401267303
332,203,365.298053802
332,203,365.298053802
332,203,365.298053802
332,203,365.298053802
336,321,198.912803537
336,321,198.912803537
336,321,198.912803537
336,321,198.912803537
346,155,248.567241321
346,155,248.567241321
346,155,248.567241321
346,155,248.567241321
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
347,205,21.9265459495
370,151,259.871949336
370,151,259.871949336
370,151,259.871949336
370,151,259.871949336
371,322,20.7388568462
372,323,48.4152379202
372,323,48.4152379202
372,323,48.4152379202
372,323,48.4152379202
373,323,329.199572652
373,323,329.199572652
373,323,329.199572652
373,323,329.199572652
374,2538,33.5576656713
374,2538,33.5576656713
374,2538,33.5576656713
374,2538,33.5576656713
375,206,255.9225722
375,206,255.9225722
375,206,255.9225722
375,206,255.9225722
377,150,287.863150837
377,150,287.863150837
377,150,287.863150837
377,150,287.863150837
377,150,287.863150837
377,150,287.863150837
378,159,316.611524897
378,159,316.611524897
378,159,316.611524897
378,159,316.611524897
379,150,165.83455447
379,150,165.83455447
379,150,165.83455447
379,150,165.83455447
379,150,165.83455447
379,150,165.83455447
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
380,205,476.31364342
381,322,135.412546699
382,323,109.390094064
382,323,109.390094064
382,323,109.390094064
382,323,109.390094064
383,206,125.930777946
383,206,125.930777946
383,206,125.930777946
383,206,125.930777946
384,1251,393.507537224
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
387,205,442.436156893
389,204,132.311815892
389,204,132.311815892
389,204,132.311815892
389,204,132.311815892
390,321,96.2835953992
390,321,96.2835953992
390,321,96.2835953992
390,321,96.2835953992
391,151,345.336584811
391,151,345.336584811
391,151,345.336584811
391,151,345.336584811
399,1251,366.196595436
431,159,333.909588103
431,159,333.909588103
431,159,333.909588103
431,159,333.909588103
101,238,705.695076114
101,238,705.695076114
101,238,705.695076114
101,238,705.695076114
102,2622,70.983529873
103,2622,144.499178006
104,238,169.970516144
104,238,169.970516144
104,238,169.970516144
104,238,169.970516144
105,238,113.379834927
105,238,113.379834927
105,238,113.379834927
105,238,113.379834927
106,238,121.397918516
106,238,121.397918516
106,238,121.397918516
106,238,121.397918516
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
107,239,608.749109334
108,238,564.41872582
108,238,564.41872582
108,238,564.41872582
108,238,564.41872582
109,2624,253.546454249
111,2624,62.4200499576
112,2624,167.819482138
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
113,239,143.360019181
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
114,239,85.9055145071
118,2625,36.8548061126
119,2625,254.976713287
120,2625,308.999162493
121,2625,276.912229848
122,2626,252.062023804
124,1263,139.703167479
125,2626,334.832761871
126,2626,332.517000864
127,240,179.208094123
129,240,60.3880013686
130,240,71.8395290385
136,241,337.992395995
142,242,44.9100646048
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
143,2530,136.458082819
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
144,2530,54.1750625853
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
145,2530,26.0544777018
146,2529,41.2958055081
147,2529,33.5519750404
148,2529,400.962981845
150,1263,169.971986411
151,2622,400.526943153
152,2621,899.271150066
153,1265,491.717892229
154,2621,346.1329614
155,1265,86.2964873313
156,2531,450.266655959
157,2531,82.4058611948
1687,2620,285.979090363
181,2622,838.700212775
182,2622,811.030364351
183,1265,505.362589529
184,2622,376.392019403
185,2625,581.818993897
186,2621,456.331905632
199,2620,390.413366394
400,1267,1337.96565414
401,1267,1371.29190513
402,1267,1412.40837108
403,1267,1096.31416838
405,1267,890.73415781
406,1267,1328.27781797
407,1267,1054.5699576
408,1267,791.533897058
409,1267,591.90247928
410,1267,785.735907576
411,1267,483.232436903
412,1267,705.774588318
413,2620,876.043840806
414,1267,307.97083169
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
415,2619,332.73155367
416,1267,583.715200247
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
417,2619,198.752135089
418,2620,134.940820407
419,2620,123.960569621
420,2620,457.098838118
421,2621,326.542926356
422,2620,433.448795487
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
424,2619,424.337374992
425,1267,973.382142936
426,2531,568.97149303
427,2620,399.177370496
432,2621,429.828357044
110,1265,210.997625347
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
115,239,246.655008794
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
116,239,829.207402869
123,314,667.361034457
128,240,63.2602514754
131,2618,132.791231082
132,240,204.217120668
133,2618,212.622755075
134,240,323.57482007
135,1252,287.661600627
137,241,250.119868831
138,240,495.108263853
139,240,559.562868248
140,1252,142.184014251
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
141,239,862.594893526
158,316,439.740462216
159,241,37.964045203
160,242,287.172813573
161,315,31.8374524951
162,1252,700.665446189
163,2617,1298.51935666
164,1265,819.955823166
165,1265,750.291695235
166,1265,647.488775098
167,2618,823.003042368
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
169,2619,725.258111065
170,1265,800.684786455
171,2533,129.315067057
172,1252,1604.70561849
173,2533,118.815626913
174,2618,1272.52526306
175,314,1670.63073509
176,2618,1307.15764709
177,2618,688.385683278
178,2618,530.8988439
179,1265,92.9629750525
180,243,106.822894724
180,243,106.822894724
180,243,106.822894724
180,243,106.822894724
188,314,816.392618562
191,2618,561.498819194
192,1265,787.472243362
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
194,2619,190.460990236
195,1265,225.054520412
196,1265,956.505755926
198,243,240.465081868
198,243,240.465081868
198,243,240.465081868
198,243,240.465081868
3100,242,351.444416992
3101,315,1327.1194372
3102,1252,1304.19273487
3103,314,375.187052805
3104,242,87.0991589827
3105,313,485.628865527
3107,1252,1361.02741852
3511,1012,153.097901468
3513,207,31.5793534936
3514,206,520.207623137
3514,206,520.207623137
3514,206,520.207623137
3514,206,520.207623137
3515,1847,248.269153301
3519,244,85.9864341208
3522,244,195.169905575
506,211,522.918232133
507,211,414.710177864
508,211,151.506591487
509,211,622.765430144
510,1847,277.638553457
511,1847,107.452899102
512,210,258.626056013
513,210,236.414279316
514,212,646.515101631
514,212,646.515101631
514,212,646.515101631
514,212,646.515101631
518,250,368.145192121
519,207,297.171372967
520,207,101.48582568
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
521,208,248.631621056
522,324,83.2788954089
523,325,477.789219532
523,325,477.789219532
523,325,477.789219532
523,325,477.789219532
524,2539,492.092857288
525,209,424.627224269
526,2543,505.170221651
529,2544,85.4279073226
530,207,496.410247904
533,324,461.107850141
534,1012,792.19079517
535,1012,456.117045344
536,2540,23.4449758583
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
537,208,349.172784502
538,2543,169.623035503
550,250,341.123696932
556,325,263.439936864
556,325,263.439936864
556,325,263.439936864
556,325,263.439936864
557,207,487.458581969
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
558,208,357.428633447
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
559,208,95.7959601192
560,2728,617.621511691
561,1847,88.9613991918
562,2545,590.911913387
562,2545,590.911913387
562,2545,590.911913387
562,2545,590.911913387
563,211,704.920580897
564,324,29.0038492162
565,325,79.872381815
565,325,79.872381815
565,325,79.872381815
565,325,79.872381815
567,211,99.1593893406
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
568,156,484.743600812
569,1012,381.667512831
578,211,679.896341449
579,2542,140.583012636
580,2539,12.311594301
581,244,311.095414275
582,1847,389.50612809
583,245,232.569889689
585,211,863.716357838
586,2542,214.704226083
587,211,307.583378346
594,244,660.424287985
3500,2545,53.503039191
3500,2545,53.503039191
3500,2545,53.503039191
3500,2545,53.503039191
3501,213,372.555562211
3502,2726,29.3712994516
3503,2547,746.73883698
3504,212,634.633313523
3504,212,634.633313523
3504,212,634.633313523
3504,212,634.633313523
3505,2730,435.117851638
3506,2730,784.08880569
3507,2728,373.836486303
3508,2728,599.496167941
3509,2728,613.426801458
3510,2726,347.292514739
3516,2547,929.442026565
3517,2726,417.982582186
3518,2545,45.6946437243
3518,2545,45.6946437243
3518,2545,45.6946437243
3518,2545,45.6946437243
3520,213,625.320559003
3521,2547,648.61023642
3523,213,723.332277093
3524,2728,257.442615386
500,2728,110.18549507
501,212,375.84595235
501,212,375.84595235
501,212,375.84595235
501,212,375.84595235
502,2730,55.8737811922
503,212,536.659917134
503,212,536.659917134
503,212,536.659917134
503,212,536.659917134
504,2730,831.197735771
505,213,324.534804247
515,213,763.663138133
516,2728,469.655880062
539,2545,557.327670149
539,2545,557.327670149
539,2545,557.327670149
539,2545,557.327670149
540,2545,144.76925548
540,2545,144.76925548
