CODE, NAME, Y, X
118,"' 광흥창역 2번출구 앞'",37.547733,126.931763
119,"' 서강나루 공원'",37.545284,126.931053
120,"' 신수동 사거리'",37.545242,126.934113
121,"' 마포소방서 앞'",37.549767,126.933174
122,"' 신성기사식당 앞'",37.547249,126.939293
124,"' 서강대 정문 건너편'",37.551140,126.936989
125,"' 서강대 남문 옆'",37.549484,126.938950
126,"' 서강대 후문 옆'",37.550411,126.943848
127,"' 현대벤처빌 앞'",37.553520,126.936951
129,"' 신촌역(2호선) 6번출구 옆'",37.555054,126.937569
130,"' 신촌역(2호선) 7번출구 앞'",37.554859,126.936157
136,"' 대흥동 주민센터'",37.556004,126.942299
142,"' 아현역 4번출구 앞'",37.557201,126.955666
143,"' 공덕역 2번출구'",37.544579,126.950218
144,"' 공덕역 8번출구'",37.543579,126.951324
145,"' 공덕역 5번출구'",37.544250,126.951637
146,"' 마포역 2번출구 뒤'",37.539936,126.945824
147,"' 마포역 4번출구 뒤'",37.539272,126.945915
148,"' 용강동 주민센터 앞'",37.542347,126.943024
150,"' 서강대역 2번출구 앞'",37.552956,126.934341
151,"' 망원1동주민센터'",37.555687,126.905548
152,"' 마포구민체육센터 앞'",37.556610,126.898018
153,"' 성산2교 사거리'",37.564697,126.912613
154,"' 마포구청역 '",37.560909,126.905495
155,"' 가좌역1 번출구 뒤'",37.568550,126.914513
156,"' 서울서부지방법원 앞'",37.549904,126.955147
157,"' 애오개역 4번출구 앞'",37.553001,126.956688
1687,"' 서울월드컵경기장 테스트'",37.568722,126.896225
181,"' 망원초록길 입구'",37.551342,126.902672
182,"' 망원2빗물펌프장 앞'",37.551567,126.902847
183,"' 하늘채코오롱아파트 건너편'",37.565166,126.919395
184,"' SK망원동주유소 건너편'",37.558949,126.907753
185,"' 마포 신수공원 앞'",37.542545,126.934296
186,"' 월드컵공원'",37.563965,126.898209
199,"' 서울 월드컵 경기장'",37.566845,126.896446
400,"' 상암한화오벨리스크 1차 앞'",37.587524,126.883003
401,"' 상암월드컵파크 10단지 앞'",37.586189,126.881615
402,"' 상암월드컵파크 9단지 앞'",37.582855,126.879822
403,"' 부엉이공원 앞'",37.585590,126.884727
405,"' DMC빌 앞'",37.582657,126.885788
406,"' 상암월드컵파크 7단지 앞'",37.581314,126.880585
407,"' 마포구 육아종합지원센터'",37.580631,126.883675
408,"' LG CNS앞'",37.580811,126.886650
409,"' 누리꿈스퀘어 옆'",37.579399,126.889160
410,"' 상암중학교 옆'",37.577496,126.887772
411,"' DMC홍보관'",37.577995,126.891472
412,"' DMC산학협력연구센터 앞'",37.575802,126.890739
413,"' 상암월드컵파크 3단지 후문'",37.571476,126.889687
414,"' 상암동주민센터 옆'",37.578220,126.894470
415,"' DMC역 9번출구 앞'",37.577469,126.897362
416,"' 상암월드컵파크 1단지 교차로'",37.575665,126.894447
417,"' DMC역 2번출구 옆'",37.575069,126.899918
418,"' 월드컵경기장역 3번출구 옆'",37.570721,126.898979
419,"' 홈플러스 앞'",37.568420,126.899429
420,"' 서울시 공공자전거 상암센터'",37.566246,126.896179
421,"' 마포구청 앞'",37.565903,126.901184
422,"' 문화비축기지'",37.569084,126.894424
424,"' 롯데하이마트 (상암월드컵점) '",37.573620,126.898048
425,"' DMC첨단산업센터'",37.584503,126.885597
426,"' 서울신용보증재단'",37.549061,126.954178
427,"' 성산시영아파트'",37.569584,126.903816
432,"' 마포중앙도서관'",37.563339,126.908203
438,"' 성산2-1 공영주차장'",37.564720,126.906769
110,"' 사천교'",37.568199,126.917847
115,"' 사루비아 빌딩 앞'",37.558933,126.927116
116,"' 일진아이윌아파트 옆'",37.564541,126.927071
123,"' 문화촌 공원'",37.594330,126.947388
128,"' 신촌역(2호선) 1번출구 옆'",37.555496,126.936340
131,"' 증산2교'",37.584171,126.911102
132,"' 창천문화공원'",37.556789,126.935883
133,"' 해담는다리'",37.582031,126.908997
134,"' 연세로 명물길'",37.557892,126.938080
135,"' 명물길 원형무대 앞'",37.559101,126.939178
137,"' NH농협 신촌지점 앞'",37.556812,126.943184
138,"' 신촌동 제1공영주차장 앞'",37.559177,126.934525
139,"' 연세대 정문 건너편'",37.559795,126.934479
140,"' 이화여대 후문'",37.560009,126.940735
141,"' 연대 대운동장 옆'",37.562382,126.932648
158,"' 독립문 어린이 공원'",37.571259,126.960480
159,"' 이대역 4번 출구'",37.556953,126.946342
160,"' 북아현동 가구거리'",37.557549,126.959381
161,"' 무악재역1번 출구'",37.582245,126.950645
162,"' 봉원고가차도 밑'",37.565269,126.946243
163,"' 명지전문대학교 정문 앞'",37.583698,126.924965
164,"' 북가좌1동 주민센터 '",37.574478,126.910049
165,"' 중앙근린공원'",37.575138,126.913940
166,"' 가재울 초등학교'",37.573277,126.919678
167,"' 연가초등학교 옆'",37.579460,126.917130
169,"' 북가좌 삼거리'",37.573002,126.907799
170,"' 가재울 뉴타운 주유소 옆'",37.573112,126.922447
171,"' 임광빌딩 앞'",37.564724,126.967278
172,"' 서대문소방서'",37.573254,126.935722
173,"' 서대문역 8번출구 앞'",37.564777,126.966148
174,"' 명지대학교 학생회관'",37.580589,126.923447
175,"' 홍연2교옆'",37.578072,126.930817
176,"' 명지대학교 도서관'",37.581097,126.924026
177,"' 북가좌 초등학교'",37.577675,126.909805
178,"' 증산3교 앞'",37.579876,126.906349
179,"' 가좌역 4번출구 앞'",37.569122,126.914795
180,"' 충정로역 7번출구 아래'",37.559967,126.962463
188,"' 홍은동 정원여중 입구'",37.586388,126.935127
191,"' 정명학원'",37.578892,126.910736
192,"' 연서어린이공원'",37.572227,126.923065
194,"' 증산교 앞'",37.577316,126.902969
195,"' 모래내고가차도 '",37.567657,126.917809
196,"' 연희교차로 인근'",37.566120,126.925896
198,"' 충정2교'",37.562138,126.963776
3100,"' 북성초교'",37.557396,126.952164
3101,"' 서대문구청'",37.578381,126.936096
3102,"' 연희삼거리'",37.567966,126.931725
3103,"' 홍제삼거리 북측'",37.586700,126.946770
3104,"' e편한세상 신촌4단지 앞'",37.558128,126.956207
3105,"' 홍은센트레빌 아파트 앞'",37.597149,126.938530
3106,"' 홍남교 두바퀴쉼터'",37.574909,126.926147
3107,"' 연희초등학교 앞'",37.569740,126.933327
3511,"' 응봉역 1번출구'",37.551250,127.035103
3513,"' 상왕십리역 1번출구'",37.564610,127.029198
3514,"' 왕십리교회옆'",37.566261,127.023697
3515,"' 서울숲 관리사무소'",37.542816,127.042084
3519,"' 용답역 1번 출구'",37.562607,127.051308
3525,"' 금호스포츠센터앞'",37.546089,127.025070
3527,"' 왕십리 자이아파트'",37.561790,127.024391
3530,"' 왕십리자이아파트 후문(삼거리)'",37.560146,127.026360
3531,"' 논골사거리(금호도서관 입구)'",37.554779,127.024841
3532,"' 왕십리KCC스위첸아파트'",37.560680,127.026779
3538,"' 서울숲 IT캐슬'",37.550892,127.044762
506,"' 금호 어울림 아파트 앞'",37.549061,127.057793
507,"' 성수아이에스비즈타워 앞'",37.548203,127.057114
508,"' 성수아카데미타워 앞'",37.545166,127.057510
509,"' 이마트 버스정류소 옆'",37.539654,127.052589
510,"' 서울숲 남문 버스정류소 옆'",37.541222,127.043800
511,"' 서울숲역 4번 출구 옆'",37.544582,127.044609
512,"' 뚝섬역 1번 출구 옆'",37.548561,127.045006
513,"' 뚝섬역 5번 출구 정류소 옆'",37.546307,127.049805
514,"' 성수사거리 버스정류장 앞'",37.542580,127.063309
518,"' 청계천 박물관 앞'",37.571526,127.035355
519,"' 양지사거리'",37.566994,127.029915
520,"' 상왕십리역 4번 출구 앞'",37.563858,127.030319
521,"' 왕십리역 11번 출구 앞'",37.561447,127.034920
522,"' 금호역 1번출구 앞'",37.548641,127.016426
523,"' 옥수동성당 옆'",37.543663,127.014061
524,"' 래미안금호하이리버 아파트 102동 옆'",37.552200,127.025055
525,"' 한양대병원사거리'",37.558052,127.040352
526,"' 용답토속공원 앞'",37.563511,127.056725
529,"' 장한평역 8번 출구 앞'",37.561371,127.063660
530,"' 청계벽산아파트 앞'",37.568748,127.030403
533,"' 우리은행 금호동 지점 앞'",37.548149,127.021088
534,"' 금호사거리'",37.548634,127.025726
535,"' 응봉삼거리'",37.553986,127.033592
536,"' 행당역 2번출구 앞'",37.557350,127.029213
537,"' 한양대후문역 부근'",37.560356,127.041397
538,"' 답십리역 8번출구 앞'",37.567650,127.051155
550,"' 서울시설공단 앞'",37.571640,127.035660
556,"' 달맞이공원'",37.542053,127.020401
557,"' 도선동 주민센터 앞'",37.567642,127.025696
558,"' 성동광진 교육지원청 앞'",37.564606,127.036522
559,"' 왕십리역 4번 출구 건너편'",37.561096,127.036797
560,"' 비전교회 앞'",37.551205,127.068932
561,"' 서울숲역 2번출구 앞'",37.542816,127.044670
562,"' 군자지하보도 앞'",37.559246,127.073410
563,"' 성동세무서 건너편'",37.547913,127.062752
564,"' 금호역 3번출구'",37.547928,127.015572
565,"' 옥수역 3번출구'",37.541363,127.017662
567,"' 성수역 2번출구 앞'",37.544590,127.057083
568,"' 청계8가사거리 부근'",37.571102,127.023560
569,"' 응봉현대아파트 정류소'",37.549583,127.030243
578,"' 성동세무서 부근'",37.548286,127.062088
579,"' 마장역 4번출구'",37.565205,127.041847
580,"' 신금호역 3번출구 뒤'",37.554493,127.020210
581,"' 용답초등학교'",37.561012,127.054237
582,"' 경일중학교 앞'",37.543179,127.049080
583,"' 청계천 생태교실 앞'",37.567970,127.046890
585,"' 성수2가1동 공영주차장 인근'",37.536808,127.055489
586,"' 마장동 주민센터'",37.565941,127.045395
587,"' KEB하나은행 성수중앙지점'",37.545418,127.052643
589,"' 성수역3번출구'",37.544159,127.056656
594,"' 중랑물재생센터(서울새활용플라자)'",37.558365,127.056908
9999,"'중랑센터2'",-67.442963,103.608330
3500,"' 군자역2번출구'",37.557587,127.079697
3501,"' 광진구청 앞'",37.539501,127.083000
3502,"' 중곡역 1번출구'",37.565659,127.084297
3503,"' 광진유진스웰'",37.550488,127.108955
3504,"' 원일교회'",37.538052,127.076599
3505,"' 신양초교앞 교차로'",37.535221,127.068398
3506,"' 영동대교 북단'",37.537014,127.061096
3507,"' 어린이회관'",37.545952,127.078003
3508,"' 화양사거리'",37.548222,127.067879
3509,"' 세종사이버대학교'",37.553417,127.073196
3510,"' 중곡SK아파트앞'",37.568649,127.086250
3516,"' 구의아리수정수센터앞'",37.543705,127.093246
3517,"' 용마사거리'",37.562527,127.082275
3520,"' 광진경찰서'",37.542519,127.084084
3521,"' 현대홈타운 뒷길'",37.543427,127.096619
3523,"' 건국대학교 과학관(이과대) 앞'",37.541718,127.080170
3524,"' 세종대학교'",37.550236,127.073822
3528,"' 광진정보도서관'",37.550598,127.110512
3529,"' 어린이대공원정문'",37.549789,127.075928
3533,"' 건대입구역 사거리(롯데백화점)'",37.539139,127.070618
3534,"' 건대입구역 5번출구 뒤'",37.540138,127.069283
3535,"' 중곡사거리(국민은행)'",37.559158,127.087517
3536,"' 중앙농협(자양동)'",37.531811,127.080742
3537,"' 아차산 휴먼시아 아파트 옆'",37.548489,127.093758
500,"' 어린이대공원역 3번출구 앞'",37.547070,127.074272
501,"' 광진구의회 앞'",37.537308,127.070351
502,"' 뚝섬유원지역 1번출구 앞'",37.531860,127.067192
503,"' 더샵스타시티 C동 앞'",37.536667,127.073593
504,"' 신자초교입구교차로'",37.532970,127.075935
505,"' 자양사거리 광진아크로텔 앞'",37.537010,127.082245
515,"' 광양중학교 앞'",37.530235,127.086830
516,"' 광진메디칼 앞'",37.548405,127.069366
539,"' 군자교교차로'",37.559795,127.074203
540,"' 군자역 7번출구 베스트샵 앞'",37.556030,127.078644
542,"' 강변역 4번출구 뒤'",37.535465,127.094482
543,"' 구의공원(테크노마트 앞)'",37.535969,127.094673
544,"' 광남중학교'",37.540730,127.102905
546,"' 잠실대교북단 교차로'",37.532478,127.085091
548,"' 자양나들목'",37.529770,127.074860
549,"' 아차산역 3번출구'",37.551224,127.089706
551,"' 구의삼성쉐르빌 앞'",37.540062,127.094498
552,"' 대림아크로리버 앞'",37.536579,127.092972
553,"' 중곡 성원APT 앞'",37.571255,127.079803
554,"' 영남주차장'",-74.526718,22.869629
555,"' 구의3동주민센터'",37.537849,127.092171
571,"' 어린이대공원역6번출구'",37.548496,127.074760
572,"' 국립정신 건강센터 앞'",37.565380,127.086510
573,"' 구의문주차장 앞'",37.545231,127.084732
574,"' 아차산역4번출구'",37.551849,127.088982
575,"' 중앙농협 중곡지점'",37.564293,127.086937
576,"' 광나루역 3번 출구'",37.544830,127.104263
577,"' 광진청소년수련관'",37.546547,127.106133
584,"' 광진광장 교통섬'",37.547829,127.072632
588,"' 뚝섬 유원지역'",37.532688,127.067497
590,"' 건국대학교 (입학정보관)'",37.539890,127.073364
591,"' 건국대학교 (행정관)'",37.542778,127.075371
592,"' 건국대학교 학생회관'",37.541912,127.077637
593,"'자양중앙나들목'",37.528587,127.077873
600,"' 휘경2동 주민센터'",37.589912,127.068680
601,"' 용신동주민센터'",37.575947,127.037361
602,"' 장안동 사거리'",37.572174,127.071388
604,"' 답십리초등학교 옆 공원'",37.569656,127.055962
605,"' 신설동역8번출구'",37.574200,127.026497
606,"' 휘경공고앞'",37.584625,127.070290
608,"' 전농삼성아파트'",37.581310,127.055344
609,"' 제기2교'",37.587791,127.037361
610,"' 동대문중 교차로'",37.573086,127.052162
612,"' 시립동부병원 앞 사거리'",37.573666,127.030815
613,"' 신설동역 10번출구 앞'",37.575272,127.023468
614,"' 용두동 사거리'",37.577686,127.031013
615,"' 용두동 레미안허브리츠아파트 앞'",37.576382,127.035110
616,"' 서울시립대 앞'",37.582561,127.054367
617,"' 청솔우성아파트 앞'",37.574203,127.057693
621,"' 동대문중학교 옆'",37.574718,127.053391
622,"' 전농사거리 교통섬'",37.577793,127.057831
623,"' 서울시립대 정문 앞'",37.583698,127.053856
624,"' 전농동 동아아파트 앞'",37.574188,127.045891
625,"' 답십리초등학교 앞(현대시장 옆)'",37.568192,127.057175
626,"' 군자교 서측 녹지대'",37.561153,127.070969
627,"' 장안동삼거리 교통섬'",37.578632,127.071907
628,"' 휘봉고등학교 앞'",37.586815,127.067543
630,"' 동대문구 보건소'",37.574852,127.040306
631,"' 답십리역 1번출구'",37.568184,127.051277
633,"' 청량리 기업은행 앞'",37.580406,127.044823
634,"' 외국어대 정문 앞'",37.596020,127.059830
635,"' 시조사 앞 (청량고정문 옆)'",37.587517,127.052773
636,"' 세종대왕기념관 교차로'",37.590900,127.042587
637,"' KAIST 경영대학 앞'",37.591614,127.045792
638,"' 서울시립대 정보기술관'",37.583008,127.060974
639,"' 서울시립대 후문'",37.585197,127.060951
640,"' KEB하나은행 청량리역지점'",37.582455,127.044495
641,"' 용두역 4번출구'",37.573753,127.038536
642,"' 신답역 사거리'",37.570156,127.048584
643,"' 동대문구민체육센터 (육교아래)'",37.566971,127.074417
646,"' 장한평역 1번출구 (국민은행앞)'",37.561867,127.064377
647,"' 신이문역 1번출구'",37.602798,127.067268
648,"' 장안동위더스빌옆'",37.566700,127.062424
650,"' 중랑교사거리'",37.591534,127.067741
651,"' 우리은행청량리지점앞'",37.582748,127.048279
652,"' 답십리 래미안엘파인아파트 입구'",37.576530,127.065941
654,"' 전농동 텃골공원'",37.577621,127.052109
656,"' 영휘원 교차로'",37.587238,127.043137
657,"' 동대문롯데캐슬아파트 앞'",37.575760,127.048370
658,"' 촬영소 사거리'",37.572948,127.066147
659,"' 제기역1번출구'",37.578350,127.033386
660,"' 동의보감타워'",37.577999,127.037628
661,"' 경희대학교 청운관'",37.594601,127.051964
200,"' 국회의원회관'",37.528728,126.914925
201,"' 진미파라곤 앞'",37.531239,126.921333
202,"' 국민일보 앞'",37.528816,126.924530
203,"' 국회의사당역 3번출구 옆'",37.528057,126.918701
204,"' 국회의사당역 5번출구 옆'",37.528164,126.917023
205,"' 산업은행 앞'",37.526264,126.920509
206,"' KBS 앞'",37.524666,126.918022
207,"' 여의나루역 1번출구 앞'",37.526989,126.932098
209,"' 유진투자증권빌딩 앞'",37.524612,126.927834
210,"' IFC몰'",37.526066,126.925537
211,"' 여의도역 4번출구 옆'",37.522228,126.924637
212,"' 여의도역 1번출구 옆'",37.521362,126.923462
213,"' KT앞'",37.521908,126.918953
214,"' 금융감독원 앞'",37.523022,126.920837
215,"' 여의도고교 앞'",37.524837,126.934906
216,"' 삼부아파트1동 앞'",37.523491,126.932899
217,"' NH농협은행 앞'",37.522079,126.930367
218,"' 증권거래소 앞'",37.523277,126.929237
219,"' 롯데캐슬엠파이어 옆'",37.520695,126.925835
220,"' 미성아파트 A동 앞'",37.519363,126.926048
221,"' 여의도초교 앞'",37.522675,126.937790
222,"' 시범아파트버스정류장 옆'",37.520271,126.938881
223,"' 진주아파트상가 앞'",37.519314,126.933167
224,"' 롯데캐슬 앞'",37.520088,126.932365
225,"' 앙카라공원 앞'",37.517368,126.929253
226,"' 샛강역 1번출구 앞'",37.517765,126.928413
227,"' 양평2나들목 보행통로 입구'",37.544666,126.888359
228,"' 선유도역 3번출구 앞'",37.538460,126.894508
229,"' 양평1 보행육교 앞'",37.535873,126.892181
230,"' 영등포구청역 1번출구'",37.524635,126.896217
231,"' 남부고용노동지청 남측'",37.524506,126.891823
232,"' 양평우림 이비즈센타 앞'",37.525650,126.887817
233,"' YP 센터 앞'",37.528488,126.891647
234,"' 영등포구민체육센터 앞'",37.500462,126.905846
235,"' 신길동 우리은행 옆'",37.504566,126.910233
236,"' 문래동자이아파트 앞'",37.516155,126.894615
238,"' 제2구민체육센타 앞'",37.526386,126.902756
239,"' 유스호스텔 앞'",37.525852,126.903282
240,"' 문래역 4번출구 앞'",37.518738,126.895576
241,"' 신길우성1차아파트 앞 공원'",37.505329,126.898483
242,"' 신길선원가와인아파트 앞'",37.510933,126.910225
243,"' 이앤씨드림타워 앞'",37.527084,126.891380
244,"' 영등포삼환아파트 앞'",37.530079,126.905708
245,"' 삼성생명 당산사옥 앞'",37.528263,126.896629
247,"' 당산역 10번출구 앞'",37.533688,126.902107
248,"' 초원아파트 앞'",37.531055,126.924210
249,"' 여의도중학교 옆'",37.524120,126.936546
250,"' 대림아파트 사거리'",37.507641,126.923080
251,"' 서울지방병무청 버스정류장'",37.504494,126.921951
252,"' 보라매역4번출구'",37.499977,126.920036
253,"' 신풍역 5번출구 인근'",37.500648,126.909515
255,"' 도림4거리'",37.506573,126.901131
256,"' 동아에코빌입구'",37.509476,126.899300
257,"' 신길삼거리(우리은행)'",37.513844,126.919357
258,"' 신길역3번출구'",37.517693,126.914299
259,"' 대방역6번출구'",37.513592,126.925934
260,"' 여의도 마리나선착장 앞'",37.533817,126.912491
262,"' 영문초등학교 사거리'",37.519928,126.889183
263,"' 근로자회관 사거리'",37.517151,126.888626
264,"' 교보생명보험 앞'",37.521931,126.891617
265,"' 영등포유통상가 사거리'",37.521133,126.896538
266,"' 영등포청과시장 사거리'",37.520294,126.901192
267,"' 삼성화재 사옥 옆'",37.535961,126.898300
268,"' 그랜드컨벤션센터 앞'",37.534718,126.900002
270,"' 증권거래소후문교차로'",37.522343,126.927101
271,"' 샛강생태공원방문자센터 앞'",37.518963,126.921616
272,"' 당산육갑문'",37.535339,126.903679
274,"' 영등포역지하쇼핑센타 5번출구'",37.516651,126.907990
275,"' 신동아아파트'",37.522816,126.885651
276,"' SK 영등포주유소'",37.518284,126.912636
277,"' 영등포뉴타운지하상가 2번게이트'",37.520119,126.905167
278,"' 쌍용플레티넘오피스텔'",37.507931,126.895233
279,"' 영등포 푸르지오 아파트'",37.513229,126.904465
280,"' 양평동6차현대아파트 앞'",37.532101,126.894440
281,"' 신동아아파트 앞'",37.498241,126.893982
282,"' 신한은행'",37.487530,126.904877
283,"' 아크로타워 스퀘어(영등포시장)'",37.522518,126.907219
284,"' 센트럴 푸르지오 시티 앞'",37.518211,126.902229
285,"' 대림3동사거리(하나은행)'",37.499859,126.897240
